productID,serialNumber,productName,productModel,description,distributerInfo,warranty,price,stock,categoryID,amountSold,discountPrice,image
29,29,LEGO Star Wars Set,Millennium Falcon,LEGO Star Wars Set (Millennium Falcon) is a high-quality product in the Toys category.,Toys distributor information.,3 years warranty,843.15,342,5,902,531.73,https://example.com/images/product/lego_star_wars_set.jpg
30,30,Barbie Dreamhouse,2024 Edition,Barbie Dreamhouse (2024 Edition) is a high-quality product in the Toys category.,Toys distributor information.,2 years warranty,990.1,174,5,435,,https://example.com/images/product/barbie_dreamhouse.jpg
31,31,Hot Wheels Track,Super Loop,Hot Wheels Track (Super Loop) is a high-quality product in the Toys category.,Toys distributor information.,3 years warranty,886.5,45,5,610,,https://example.com/images/product/hot_wheels_track.jpg
32,32,Nerf Blaster,Elite 2.0,Nerf Blaster (Elite 2.0) is a high-quality product in the Toys category.,Toys distributor information.,2 years warranty,770.35,295,5,10,550.64,https://example.com/images/product/nerf_blaster.jpg
33,33,Play-Doh Kit,Mega Pack,Play-Doh Kit (Mega Pack) is a high-quality product in the Toys category.,Toys distributor information.,1 years warranty,315.43,73,5,81,189.26,https://example.com/images/product/play-doh_kit.jpg
34,34,Fisher-Price Play Gym,Deluxe,Fisher-Price Play Gym (Deluxe) is a high-quality product in the Toys category.,Toys distributor information.,2 years warranty,570.07,491,5,114,450.07,https://example.com/images/product/fisher-price_play_gym.jpg
35,35,Rubik's Cube,3x3 Classic,Rubik's Cube (3x3 Classic) is a high-quality product in the Toys category.,Toys distributor information.,3 years warranty,227.54,19,5,741,194.5,https://example.com/images/product/rubik's_cube.jpg
36,36,L'Oréal Paris Shampoo,Elvive,L'Oréal Paris Shampoo (Elvive) is a high-quality product in the Beauty Products category.,Beauty Products distributor information.,3 years warranty,350.73,385,6,762,298.82,https://example.com/images/product/l'oréal_paris_shampoo.jpg
37,37,Maybelline Mascara,Lash Sensational,Maybelline Mascara (Lash Sensational) is a high-quality product in the Beauty Products category.,Beauty Products distributor information.,1 years warranty,756.35,431,6,995,647.73,https://example.com/images/product/maybelline_mascara.jpg
38,38,Olay Face Cream,Regenerist,Olay Face Cream (Regenerist) is a high-quality product in the Beauty Products category.,Beauty Products distributor information.,3 years warranty,805.62,119,6,523,570.46,https://example.com/images/product/olay_face_cream.jpg
39,39,Dove Body Wash,Deep Moisture,Dove Body Wash (Deep Moisture) is a high-quality product in the Beauty Products category.,Beauty Products distributor information.,2 years warranty,583.9,469,6,47,,https://example.com/images/product/dove_body_wash.jpg
40,40,MAC Lipstick,Matte Ruby Woo,MAC Lipstick (Matte Ruby Woo) is a high-quality product in the Beauty Products category.,Beauty Products distributor information.,3 years warranty,91.46,171,6,40,,https://example.com/images/product/mac_lipstick.jpg
41,41,Clinique Foundation,Even Better,Clinique Foundation (Even Better) is a high-quality product in the Beauty Products category.,Beauty Products distributor information.,2 years warranty,773.39,132,6,918,,https://example.com/images/product/clinique_foundation.jpg
42,42,Neutrogena Sunscreen,SPF 50,Neutrogena Sunscreen (SPF 50) is a high-quality product in the Beauty Products category.,Beauty Products distributor information.,3 years warranty,439.79,42,6,308,,https://example.com/images/product/neutrogena_sunscreen.jpg
43,43,PlayStation 5,Disc Edition,PlayStation 5 (Disc Edition) is a high-quality product in the Gaming category.,Gaming distributor information.,1 years warranty,76.66,402,7,419,58.42,https://example.com/images/product/playstation_5.jpg
44,44,Xbox Series X,Halo Infinite,Xbox Series X (Halo Infinite) is a high-quality product in the Gaming category.,Gaming distributor information.,1 years warranty,7.76,454,7,321,6.63,https://example.com/images/product/xbox_series_x.jpg
45,45,Nintendo Switch,OLED,Nintendo Switch (OLED) is a high-quality product in the Gaming category.,Gaming distributor information.,2 years warranty,394.68,448,7,482,252.71,https://example.com/images/product/nintendo_switch.jpg
46,46,Razer Gaming Mouse,DeathAdder,Razer Gaming Mouse (DeathAdder) is a high-quality product in the Gaming category.,Gaming distributor information.,1 years warranty,760.25,328,7,951,574.14,https://example.com/images/product/razer_gaming_mouse.jpg
47,47,SteelSeries Headset,Arctis 7,SteelSeries Headset (Arctis 7) is a high-quality product in the Gaming category.,Gaming distributor information.,3 years warranty,79.56,72,7,332,68.16,https://example.com/images/product/steelseries_headset.jpg
48,48,Alienware Gaming Laptop,m15 R6,Alienware Gaming Laptop (m15 R6) is a high-quality product in the Gaming category.,Gaming distributor information.,2 years warranty,310.77,126,7,338,256.79,https://example.com/images/product/alienware_gaming_laptop.jpg
49,49,Logitech Gaming Keyboard,G Pro,Logitech Gaming Keyboard (G Pro) is a high-quality product in the Gaming category.,Gaming distributor information.,3 years warranty,267.08,18,7,105,,https://example.com/images/product/logitech_gaming_keyboard.jpg
